code,name,country,exchange,currency,type,market
A,Agilent Technologies,Health Care,NYSE,USD,Common Stock,us_500
A1MD34,"Advanced Micro Devices, Inc",Brazil,SA,BRL,Preferred Stock,sa_bdr
AAL,American Airlines Group,Industrials,NYSE,USD,Common Stock,us_500
AALL34,American Airlines Group Inc,Brazil,SA,BRL,Preferred Stock,sa_bdr
AALR3,Centro de Imagem Diagnósticos S.A,Brazil,SA,BRL,Common Stock,sa_stocks
AAP,Advance Auto Parts,Consumer Discretionary,NYSE,USD,Common Stock,us_500
AAPL,Apple Inc.,Information Technology,NYSE,USD,Common Stock,us_500
AAPL,Apple Inc. Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
AAPL34,Apple Inc,Brazil,SA,BRL,Preferred Stock,sa_bdr
ABBV,AbbVie Inc.,Health Care,NYSE,USD,Common Stock,us_500
ABC,AmerisourceBergen,Health Care,NYSE,USD,Common Stock,us_500
ABCB4,Banco ABC Brasil S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
ABCP11,FII ABC Plaza Shopping Fund,Brazil,SA,BRL,ETF,sa_etf
ABEV3,Ambev S.A,Brazil,SA,BRL,Common Stock,sa_stocks
ABMD,Abiomed,Health Care,NYSE,USD,Common Stock,us_500
ABT,Abbott Laboratories,Health Care,NYSE,USD,Common Stock,us_500
ABTT34,Abbott Laboratories,Brazil,SA,BRL,Preferred Stock,sa_bdr
ACN,Accenture,Information Technology,NYSE,USD,Common Stock,us_500
ACWI,iShares MSCI ACWI ETF,USA,NASDAQ,USD,ETF,us_etf
ADBE,Adobe Inc.,Information Technology,NYSE,USD,Common Stock,us_500
ADBE,Adobe Inc. Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
ADBE34,Adobe Inc,Brazil,SA,BRL,Preferred Stock,sa_bdr
ADI,Analog Devices Inc.,Information Technology,NYSE,USD,Common Stock,us_500
ADI,"Analog Devices, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
ADM,Archer-Daniels-Midland Co,Consumer Staples,NYSE,USD,Common Stock,us_500
ADP,Automatic Data Processing,Information Technology,NYSE,USD,Common Stock,us_500
ADP,"Automatic Data Processing, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
ADSK,Autodesk Inc.,Information Technology,NYSE,USD,Common Stock,us_500
ADSK,"Autodesk, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
AEE,Ameren Corp,Utilities,NYSE,USD,Common Stock,us_500
AEP,American Electric Power,Utilities,NYSE,USD,Common Stock,us_500
AEP,"American Electric Power Company, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
AERI3,Aeris Indústria e Comércio de Equipamentos para Geração de Energia S.A,Brazil,SA,BRL,Common Stock,sa_stocks
AES,AES Corp,Utilities,NYSE,USD,Common Stock,us_500
AFL,Aflac,Financials,NYSE,USD,Common Stock,us_500
AFLT3,Afluente Transmissão de Energia Elétrica S.A,Brazil,SA,BRL,Common Stock,sa_stocks
AGG,iShares Core U.S. Aggregate Bond ETF,USA,NYSE ARCA,USD,ETF,us_etf
AGRO3,BrasilAgro - Companhia Brasileira de Propriedades Agrícolas,Brazil,SA,BRL,Common Stock,sa_stocks
AHEB6,São Paulo Turismo S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
AIG,American International Group,Financials,NYSE,USD,Common Stock,us_500
AIZ,Assurant,Financials,NYSE,USD,Common Stock,us_500
AJG,Arthur J. Gallagher & Co.,Financials,NYSE,USD,Common Stock,us_500
AKAM,Akamai Technologies,Information Technology,NYSE,USD,Common Stock,us_500
ALB,Albemarle Corporation,Materials,NYSE,USD,Common Stock,us_500
ALGN,Align Technology,Health Care,NYSE,USD,Common Stock,us_500
ALGN,"Align Technology, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
ALK,Alaska Air Group,Industrials,NYSE,USD,Common Stock,us_500
ALL,Allstate Corp,Financials,NYSE,USD,Common Stock,us_500
ALLE,Allegion,Industrials,NYSE,USD,Common Stock,us_500
ALMI11,Fundo De Investimento Imobiliario Torre Almirante,Brazil,SA,BRL,ETF,sa_etf
ALPA3,Alpargatas S.A,Brazil,SA,BRL,Common Stock,sa_stocks
ALPA4,Alpargatas S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
ALPK3,"Allpark Empreendimentos, Participações e Serviços S.A",Brazil,SA,BRL,Common Stock,sa_stocks
ALSO3,Aliansce Sonae Shopping Centers SA,Brazil,SA,BRL,Common Stock,sa_stocks
ALUP11,Alupar Investimento S.A,Brazil,SA,BRL,ETF,sa_etf
ALUP3,Alupar Investimento S.A,Brazil,SA,BRL,Common Stock,sa_stocks
ALUP4,Alupar Investimento S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
ALXN,Alexion Pharmaceuticals,Health Care,NYSE,USD,Common Stock,us_500
ALXN,"Alexion Pharmaceuticals, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
ALZR11,Alianza Trust Renda Imobiliaria Fundo Investimento Imobiliario,Brazil,SA,BRL,ETF,sa_etf
AMAR3,Marisa Lojas S.A,Brazil,SA,BRL,Common Stock,sa_stocks
AMAT,Applied Materials Inc.,Information Technology,NYSE,USD,Common Stock,us_500
AMAT,"Applied Materials, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
AMBP3,Ambipar Participações e Empreendimentos S.A,Brazil,SA,BRL,Common Stock,sa_stocks
AMCR,Amcor,Materials,NYSE,USD,Common Stock,us_500
AMD,Advanced Micro Devices,Information Technology,NYSE,USD,Common Stock,us_500
AMD,"Advanced Micro Devices, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
AME,Ametek,Industrials,NYSE,USD,Common Stock,us_500
AMGN,Amgen Inc.,Health Care,NYSE,USD,Common Stock,us_500
AMGN,Amgen Inc. Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
AMGN34,Amgen Inc,Brazil,SA,BRL,Preferred Stock,sa_bdr
AMP,Ameriprise Financial,Financials,NYSE,USD,Common Stock,us_500
AMT,American Tower Corp.,Real Estate,NYSE,USD,Common Stock,us_500
AMZN,Amazon.com Inc.,Consumer Discretionary,NYSE,USD,Common Stock,us_500
AMZN,"Amazon.com, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
AMZO34,"Amazon.com, Inc",Brazil,SA,BRL,Preferred Stock,sa_bdr
ANET,Arista Networks,Information Technology,NYSE,USD,Common Stock,us_500
ANIM3,Anima Holding S.A,Brazil,SA,BRL,Common Stock,sa_stocks
ANSS,ANSYS Inc.,Information Technology,NYSE,USD,Common Stock,us_500
ANSS,"ANSYS, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
ANTM,Anthem,Health Care,NYSE,USD,Common Stock,us_500
AON,Aon plc,Financials,NYSE,USD,Common Stock,us_500
AOS,A.O. Smith Corp,Industrials,NYSE,USD,Common Stock,us_500
APA,APA Corporation,Energy,NYSE,USD,Common Stock,us_500
APD,Air Products & Chemicals,Materials,NYSE,USD,Common Stock,us_500
APER3,Alper Consultoria e Corretora de Seguros S.A,Brazil,SA,BRL,Common Stock,sa_stocks
APH,Amphenol Corp,Information Technology,NYSE,USD,Common Stock,us_500
APTV,Aptiv PLC,Consumer Discretionary,NYSE,USD,Common Stock,us_500
ARE,Alexandria Real Estate Equities,Real Estate,NYSE,USD,Common Stock,us_500
ARKK,ARK Innovation ETF,USA,NYSE ARCA,USD,ETF,us_etf
ARRI11,Fundo De Investimento Imobiliario Atrio Reit Recebiveis Imobiliarios,Brazil,SA,BRL,ETF,sa_etf
ARZZ3,Arezzo Indústria e Comércio S.A,Brazil,SA,BRL,Common Stock,sa_stocks
ASAI3,Sendas Distribuidora S.A.,Brazil,SA,BRL,Common Stock,sa_stocks
ASML,ASML Holding N.V. New York Registry Shares,US,Nasdaq,USD,Define Stock,us_tech_100
ATO,Atmos Energy,Utilities,NYSE,USD,Common Stock,us_500
ATOM3,Atom Empreendimentos e Participações S.A,Brazil,SA,BRL,Common Stock,sa_stocks
ATSA11,Cshg Atrium Shopping Santo Andr Fundo De Investimento Imobilirio Fii,Brazil,SA,BRL,ETF,sa_etf
ATVI,Activision Blizzard,Communication Services,NYSE,USD,Common Stock,us_500
ATVI,"Activision Blizzard, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
AURA33,Aura Minerals Inc,Brazil,SA,BRL,Common Stock,sa_stocks
AVB,AvalonBay Communities,Real Estate,NYSE,USD,Common Stock,us_500
AVGO,Broadcom Inc.,Information Technology,NYSE,USD,Common Stock,us_500
AVGO,Broadcom Inc. Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
AVGO34,Broadcom Inc,Brazil,SA,BRL,Preferred Stock,sa_bdr
AVLL3,Alphaville S.A,Brazil,SA,BRL,Common Stock,sa_stocks
AVY,Avery Dennison Corp,Materials,NYSE,USD,Common Stock,us_500
AWK,American Water Works,Utilities,NYSE,USD,Common Stock,us_500
AXP,American Express,Financials,NYSE,USD,Common Stock,us_500
AXPB34,American Express Company,Brazil,SA,BRL,Preferred Stock,sa_bdr
AZEV3,Azevedo & Travassos S.A,Brazil,SA,BRL,Common Stock,sa_stocks
AZEV4,Azevedo & Travassos S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
AZO,AutoZone Inc,Consumer Discretionary,NYSE,USD,Common Stock,us_500
AZUL4,Azul S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
B3SA3,"B3 S.A. - Brasil, Bolsa, Balcão",Brazil,SA,BRL,Common Stock,sa_stocks
BA,Boeing Company,Industrials,NYSE,USD,Common Stock,us_500
BABA34,BABA34,Brazil,SA,BRL,Preferred Stock,sa_bdr
BAC,Bank of America Corp,Financials,NYSE,USD,Common Stock,us_500
BAHI3,Bahema Educação S.A,Brazil,SA,BRL,Common Stock,sa_stocks
BALM4,Baumer S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
BARI11,Fundo De Investimento Imobiliario Barigui Rendimentos Imobiliario I Fii,Brazil,SA,BRL,ETF,sa_etf
BAUH4,Excelsior Alimentos S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
BAX,Baxter International Inc.,Health Care,NYSE,USD,Common Stock,us_500
BAZA3,Banco da Amazônia S.A,Brazil,SA,BRL,Common Stock,sa_stocks
BBAS3,Banco do Brasil S.A,Brazil,SA,BRL,Common Stock,sa_stocks
BBDC3,Banco Bradesco S.A,Brazil,SA,BRL,Common Stock,sa_stocks
BBDC4,Banco Bradesco S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
BBFI11B,BB Fundo De Investimento Imobiliario Progressivo,Brazil,SA,BRL,ETF,sa_etf
BBPO11,BB Progressivo II Fundo de Investimento Imobiliário - FII,Brazil,SA,BRL,ETF,sa_etf
BBRC11,BB Renda Corporativa Fundo de Investimento Imobiliário - FII,Brazil,SA,BRL,ETF,sa_etf
BBRK3,Brasil Brokers Participações S.A,Brazil,SA,BRL,Common Stock,sa_stocks
BBSD11,BB ETF S&P Dividendos Brasil,Brazil,SA,BRL,ETF,sa_etf
BBSE3,BB Seguridade Participações S.A,Brazil,SA,BRL,Common Stock,sa_stocks
BBY,Best Buy Co. Inc.,Consumer Discretionary,NYSE,USD,Common Stock,us_500
BCFF11,Fundo De Investimento Imobiliário - FII BTG Pactual Fundo De Fundos,Brazil,SA,BRL,ETF,sa_etf
BCIA11,Bradesco Carteira Imobiliaria Ativa Fundos de Investimento Imobiliario,Brazil,SA,BRL,ETF,sa_etf
BCRI11,Banestes Recebiveis Imobiliarios Fundo Investimento Imobiliario FII,Brazil,SA,BRL,ETF,sa_etf
BCSA34,BCSA34,Brazil,SA,BRL,Preferred Stock,sa_bdr
BDLL4,Bardella S.A. Indústrias Mecânicas,Brazil,SA,BRL,Preferred Stock,sa_stocks
BDRX,INDICE DE BDR NAO PATR GLOBAL INDEX,Brazil,SA,BRL,Common Stock,sa_stocks
BDX,Becton Dickinson,Health Care,NYSE,USD,Common Stock,us_500
BEEF11,Minerva SA,Brazil,SA,BRL,ETF,sa_etf
BEEF3,Minerva S.A,Brazil,SA,BRL,Common Stock,sa_stocks
BEES3,Banestes S.A - Banco do Estado do Espírito Santo,Brazil,SA,BRL,Common Stock,sa_stocks
BEES4,Banestes S.A - Banco do Estado do Espírito Santo,Brazil,SA,BRL,Preferred Stock,sa_stocks
BEN,Franklin Resources,Financials,NYSE,USD,Common Stock,us_500
BERK34,Berkshire Hathaway Inc,Brazil,SA,BRL,Preferred Stock,sa_bdr
BF.B,Brown-Forman Corp.,Consumer Staples,NYSE,USD,Common Stock,us_500
BGIP3,Banco do Estado de Sergipe S.A,Brazil,SA,BRL,Common Stock,sa_stocks
BGIP4,Banco do Estado de Sergipe S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
BHPG34,BHPG34,Brazil,SA,BRL,Preferred Stock,sa_bdr
BICR11,Inter Titulos Imobiliarios Fundo De Investimento Imobiliario,Brazil,SA,BRL,ETF,sa_etf
BIDI11,Banco Inter S.A,Brazil,SA,BRL,ETF,sa_etf
BIDI3,Banco Inter S.A,Brazil,SA,BRL,Common Stock,sa_stocks
BIDI4,Banco Inter S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
BIDU,"Baidu, Inc. ADS",US,Nasdaq,USD,Define Stock,us_tech_100
BIIB,Biogen Inc.,Health Care,NYSE,USD,Common Stock,us_500
BIIB,Biogen Inc. Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
BIIB34,Biogen Inc,Brazil,SA,BRL,Preferred Stock,sa_bdr
BIL,SPDR Barclays 1-3 Month T-Bill ETF,USA,NYSE ARCA,USD,ETF,us_etf
BIO,Bio-Rad Laboratories,Health Care,NYSE,USD,Common Stock,us_500
BIOM3,Biomm S.A,Brazil,SA,BRL,Common Stock,sa_stocks
BIV,Vanguard Intermediate-Term Bond ETF,USA,NYSE ARCA,USD,ETF,us_etf
BK,The Bank of New York Mellon,Financials,NYSE,USD,Common Stock,us_500
BKBR3,BK Brasil Operação e Assessoria a Restaurantes S.A,Brazil,SA,BRL,Common Stock,sa_stocks
BKNG,Booking Holdings Inc,Consumer Discretionary,NYSE,USD,Common Stock,us_500
BKNG,Booking Holdings Inc. Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
BKNG34,Booking Holdings Inc,Brazil,SA,BRL,Preferred Stock,sa_bdr
BKR,Baker Hughes Co,Energy,NYSE,USD,Common Stock,us_500
BLAK34,"BlackRock, Inc",Brazil,SA,BRL,Preferred Stock,sa_bdr
BLK,BlackRock,Financials,NYSE,USD,Common Stock,us_500
BLL,Ball Corp,Materials,NYSE,USD,Common Stock,us_500
BMEB3,Banco Mercantil do Brasil S.A,Brazil,SA,BRL,Common Stock,sa_stocks
BMEB4,Banco Mercantil do Brasil S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
BMGB4,Banco BMG S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
BMIN4,Banco Mercantil de Investimentos S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
BMKS3,Bicicletas Monark S.A,Brazil,SA,BRL,Common Stock,sa_stocks
BMLC11B,Fundo de Investimento Imobiliário Rio Bravo Renda Corporativa,Brazil,SA,BRL,ETF,sa_etf
BMOB3,Bemobi Mobile Tech S.A,Brazil,SA,BRL,Common Stock,sa_stocks
BMY,Bristol-Myers Squibb,Health Care,NYSE,USD,Common Stock,us_500
BMYB34,Bristol-Myers Squibb Company,Brazil,SA,BRL,Preferred Stock,sa_bdr
BNBR3,Banco do Nordeste do Brasil S.A,Brazil,SA,BRL,Common Stock,sa_stocks
BND,Vanguard Total Bond Market ETF,USA,NASDAQ,USD,ETF,us_etf
BNDX,Vanguard Total International Bond ETF,USA,NASDAQ,USD,ETF,us_etf
BNFS11,Banrisul N Front Fund Investment IMO FII Fund,Brazil,SA,BRL,ETF,sa_etf
BOAC34,Bank of America Corporation,Brazil,SA,BRL,Preferred Stock,sa_bdr
BOAS3,Boa Vista Serviços S.A,Brazil,SA,BRL,Common Stock,sa_stocks
BOBR4,Bombril S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
BOEI34,The Boeing Company,Brazil,SA,BRL,Preferred Stock,sa_bdr
BONY34,The Bank of New York Mellon Corporation,Brazil,SA,BRL,Preferred Stock,sa_bdr
BOVA11,iShares Ibovespa Fundo de &#195;&#141;ndice ETF,Brazil,SA,BRL,ETF,sa_etf
BOVB11,ETF Bradesco Ibovespa Fundo de &#195;&#141;ndice,Brazil,SA,BRL,ETF,sa_etf
BOVV11,It Now Ibovespa Fundo De &#195;&#141;ndice,Brazil,SA,BRL,ETF,sa_etf
BPAC11,Banco BTG Pactual S.A,Brazil,SA,BRL,ETF,sa_etf
BPAC3,Banco BTG Pactual S.A,Brazil,SA,BRL,Common Stock,sa_stocks
BPAC5,Banco BTG Pactual S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
BPAN4,Banco Pan S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
BPFF11,Fundo de Investimento Imobiliário - FII Brasil Plural Absoluto Fundo de Fundos,Brazil,SA,BRL,ETF,sa_etf
BPML11,Fundo De Investimento Imobiliario BTG Pactual Shoppings,Brazil,SA,BRL,ETF,sa_etf
BR,Broadridge Financial Solutions,Information Technology,NYSE,USD,Common Stock,us_500
BRAP3,Bradespar S.A,Brazil,SA,BRL,Common Stock,sa_stocks
BRAP4,Bradespar S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
BRCO11,Bresco - Fundo De Investimento Imobiliario,Brazil,SA,BRL,ETF,sa_etf
BRCR11,Fundo de Investimento Imobiliário - FII BTG Pactual Corporate Office Fund,Brazil,SA,BRL,ETF,sa_etf
BRDT3,Petrobras Distribuidora S.A,Brazil,SA,BRL,Common Stock,sa_stocks
BRFS3,BRF S.A,Brazil,SA,BRL,Common Stock,sa_stocks
BRGE11,Consórcio Alfa de Administração S.A,Brazil,SA,BRL,ETF,sa_etf
BRGE12,Consórcio Alfa de Administração S.A,Brazil,SA,BRL,Common Stock,sa_stocks
BRGE3,Consórcio Alfa de Administração S.A,Brazil,SA,BRL,Common Stock,sa_stocks
BRGE5,Consórcio Alfa de Administração S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
BRGE8,Consórcio Alfa de Administração S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
BRIV3,Banco Alfa de Investimento S.A,Brazil,SA,BRL,Common Stock,sa_stocks
BRIV4,Banco Alfa de Investimento S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
BRK.B,Berkshire Hathaway,Financials,NYSE,USD,Common Stock,us_500
BRKM3,Braskem S.A,Brazil,SA,BRL,Common Stock,sa_stocks
BRKM5,Braskem S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
BRKM6,Braskem S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
BRML3,BR Malls Participações S.A,Brazil,SA,BRL,Common Stock,sa_stocks
BRPR3,BR Properties S.A,Brazil,SA,BRL,Common Stock,sa_stocks
BRSR3,Banco do Estado do Rio Grande do Sul S.A,Brazil,SA,BRL,Common Stock,sa_stocks
BRSR5,Banco do Estado do Rio Grande do Sul S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
BRSR6,Banco do Estado do Rio Grande do Sul S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
BSEV3,Biosev S.A,Brazil,SA,BRL,Common Stock,sa_stocks
BSV,Vanguard Short-Term Bond ETF,USA,NYSE ARCA,USD,ETF,us_etf
BSX,Boston Scientific,Health Care,NYSE,USD,Common Stock,us_500
BTCR11,Fundo Infestimento Imobiliario Btg Pactual Credito Imobiliario,Brazil,SA,BRL,ETF,sa_etf
BTLG11,BTG Pactual Logística Fundo de Investimento Imobiliário,Brazil,SA,BRL,ETF,sa_etf
BTOW3,B2W - Companhia Digital,Brazil,SA,BRL,Common Stock,sa_stocks
BTTL3,Battistella Administração e Participações S.A,Brazil,SA,BRL,Common Stock,sa_stocks
BWA,BorgWarner,Consumer Discretionary,NYSE,USD,Common Stock,us_500
BXP,Boston Properties,Real Estate,NYSE,USD,Common Stock,us_500
BZLI11,Brazil Realty Fundo Investimento Imobiliario,Brazil,SA,BRL,ETF,sa_etf
C,Citigroup Inc.,Financials,NYSE,USD,Common Stock,us_500
CAG,Conagra Brands,Consumer Staples,NYSE,USD,Common Stock,us_500
CAH,Cardinal Health Inc.,Health Care,NYSE,USD,Common Stock,us_500
CALI4,Construtora Adolpho Lindenberg S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
CAMB3,Cambuci S.A,Brazil,SA,BRL,Common Stock,sa_stocks
CAML3,Camil Alimentos S.A,Brazil,SA,BRL,Common Stock,sa_stocks
CAON34,Capital One Financial Corporation,Brazil,SA,BRL,Preferred Stock,sa_bdr
CARD3,CSU Cardsystem S.A,Brazil,SA,BRL,Common Stock,sa_stocks
CARE11,Máxima Renda Corporativa Fundo de Investimento Imobiliário - FII,Brazil,SA,BRL,ETF,sa_etf
CARR,Carrier Global,Industrials,NYSE,USD,Common Stock,us_500
CASH3,Méliuz S.A,Brazil,SA,BRL,Common Stock,sa_stocks
CAT,Caterpillar Inc.,Industrials,NYSE,USD,Common Stock,us_500
CB,Chubb Limited,Financials,NYSE,USD,Common Stock,us_500
CBOE,Cboe Global Markets,Financials,NYSE,USD,Common Stock,us_500
CBOP11,Castello Branco Off Park Fund In Im,Brazil,SA,BRL,ETF,sa_etf
CBRE,CBRE Group,Real Estate,NYSE,USD,Common Stock,us_500
CCI,Crown Castle,Real Estate,NYSE,USD,Common Stock,us_500
CCL,Carnival Corp.,Consumer Discretionary,NYSE,USD,Common Stock,us_500
CCPR3,Cyrela Commercial Properties S.A,Brazil,SA,BRL,Common Stock,sa_stocks
CCRO3,CCR S.A,Brazil,SA,BRL,Common Stock,sa_stocks
CDNS,Cadence Design Systems,Information Technology,NYSE,USD,Common Stock,us_500
CDNS,"Cadence Design Systems, Inc. Common Stock",US,Nasdaq,USD,Define Stock,us_tech_100
CDW,CDW,Information Technology,NYSE,USD,Common Stock,us_500
CDW,CDW Corporation Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
CE,Celanese,Materials,NYSE,USD,Common Stock,us_500
CEAB3,C&A Modas S.A,Brazil,SA,BRL,Common Stock,sa_stocks
CEBR3,Companhia Energética de Brasília - CEB,Brazil,SA,BRL,Common Stock,sa_stocks
CEBR5,Companhia Energética de Brasília - CEB,Brazil,SA,BRL,Preferred Stock,sa_stocks
CEBR6,Companhia Energética de Brasília - CEB,Brazil,SA,BRL,Preferred Stock,sa_stocks
CEDO4,Companhia de Fiação e Tecidos Cedro e Cachoeira S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
CEEB3,Companhiade Eletricidade do Estado da Bahia - COELBA,Brazil,SA,BRL,Common Stock,sa_stocks
CEEB5,Companhiade Eletricidade do Estado da Bahia - COELBA,Brazil,SA,BRL,Preferred Stock,sa_stocks
CEED4,Companhia Estadual de Distribuição de Energia Elétrica,Brazil,SA,BRL,Preferred Stock,sa_stocks
CEOC11,Fundo de Investimento Imobiliário FII CEO Cyrela Fund,Brazil,SA,BRL,ETF,sa_etf
CEPE5,Companhia Energética de Pernambuco - CELPE,Brazil,SA,BRL,Preferred Stock,sa_stocks
CEPE6,Companhia Energética de Pernambuco - CELPE,Brazil,SA,BRL,Preferred Stock,sa_stocks
CERN,Cerner,Health Care,NYSE,USD,Common Stock,us_500
CERN,Cerner Corporation Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
CESP3,CESP - Companhia Energética de São Paulo,Brazil,SA,BRL,Common Stock,sa_stocks
CESP5,CESP - Companhia Energética de São Paulo,Brazil,SA,BRL,Preferred Stock,sa_stocks
CESP6,CESP - Companhia Energética de São Paulo,Brazil,SA,BRL,Preferred Stock,sa_stocks
CF,CF Industries Holdings Inc,Materials,NYSE,USD,Common Stock,us_500
CFG,Citizens Financial Group,Financials,NYSE,USD,Common Stock,us_500
CGAS3,Companhia de Gás de São Paulo - COMGÁS,Brazil,SA,BRL,Common Stock,sa_stocks
CGAS5,Companhia de Gás de São Paulo - COMGÁS,Brazil,SA,BRL,Preferred Stock,sa_stocks
CGRA3,Grazziotin S.A,Brazil,SA,BRL,Common Stock,sa_stocks
CGRA4,Grazziotin S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
CHCM34,"Charter Communications, Inc",Brazil,SA,BRL,Preferred Stock,sa_bdr
CHD,Church & Dwight,Consumer Staples,NYSE,USD,Common Stock,us_500
CHKP,Check Point Software Technologies Ltd. Ordinary Shares,US,Nasdaq,USD,Define Stock,us_tech_100
CHME34,CME Group Inc,Brazil,SA,BRL,Preferred Stock,sa_bdr
CHRW,C. H. Robinson Worldwide,Industrials,NYSE,USD,Common Stock,us_500
CHTR,Charter Communications,Communication Services,NYSE,USD,Common Stock,us_500
CHTR,"Charter Communications, Inc. Class A Common Stock New",US,Nasdaq,USD,Define Stock,us_tech_100
CI,Cigna,Health Care,NYSE,USD,Common Stock,us_500
CIEL3,Cielo S.A,Brazil,SA,BRL,Common Stock,sa_stocks
CINF,Cincinnati Financial,Financials,NYSE,USD,Common Stock,us_500
CL,Colgate-Palmolive,Consumer Staples,NYSE,USD,Common Stock,us_500
CLSC4,Centrais Elétricas de Santa Catarina S.A,Brazil,SA,BRL,Preferred Stock,sa_stocks
CLX,The Clorox Company,Consumer Staples,NYSE,USD,Common Stock,us_500
CMA,Comerica Inc.,Financials,NYSE,USD,Common Stock,us_500
CMCS34,Comcast Corporation,Brazil,SA,BRL,Preferred Stock,sa_bdr
CMCSA,Comcast Corp.,Communication Services,NYSE,USD,Common Stock,us_500
CMCSA,Comcast Corporation Class A Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
CME,CME Group Inc.,Financials,NYSE,USD,Common Stock,us_500
CMG,Chipotle Mexican Grill,Consumer Discretionary,NYSE,USD,Common Stock,us_500
CMI,Cummins Inc.,Industrials,NYSE,USD,Common Stock,us_500
CMIG3,Companhia Energética de Minas Gerais,Brazil,SA,BRL,Common Stock,sa_stocks
CMIG4,Companhia Energética de Minas Gerais,Brazil,SA,BRL,Preferred Stock,sa_stocks
CMIN3,CSN Mineração S.A,Brazil,SA,BRL,Common Stock,sa_stocks
CMS,CMS Energy,Utilities,NYSE,USD,Common Stock,us_500
CNC,Centene Corporation,Health Care,NYSE,USD,Common Stock,us_500
CNES11,Fundo De Investimento Imobiliario Bm Cenesp - Fii - Inicio De Negociacao,Brazil,SA,BRL,ETF,sa_etf
CNIC34,Canadian National Railway Company,Brazil,SA,BRL,Preferred Stock,sa_bdr
CNP,CenterPoint Energy,Utilities,NYSE,USD,Common Stock,us_500
CNTO3,Grupo SBF S.A,Brazil,SA,BRL,Common Stock,sa_stocks
COCA34,The Coca-Cola Company,Brazil,SA,BRL,Preferred Stock,sa_bdr
COCE3,Companhia Energética do Ceará - Coelce,Brazil,SA,BRL,Common Stock,sa_stocks
COCE5,Companhia Energética do Ceará - Coelce,Brazil,SA,BRL,Preferred Stock,sa_stocks
COF,Capital One Financial,Financials,NYSE,USD,Common Stock,us_500
COG,Cabot Oil & Gas,Energy,NYSE,USD,Common Stock,us_500
COGN3,Cogna Educação S.A,Brazil,SA,BRL,Common Stock,sa_stocks
COO,The Cooper Companies,Health Care,NYSE,USD,Common Stock,us_500
COP,ConocoPhillips,Energy,NYSE,USD,Common Stock,us_500
COPH34,ConocoPhillips,Brazil,SA,BRL,Preferred Stock,sa_bdr
COST,Costco Wholesale Corp.,Consumer Staples,NYSE,USD,Common Stock,us_500
COST,Costco Wholesale Corporation Common Stock,US,Nasdaq,USD,Define Stock,us_tech_100
COWC34,Costco Wholesale Corporation,Brazil,SA,BRL,Preferred Stock,sa_bdr
